fruit,cluster_id,grade,count,quality_score
apple,0,B,674,0.274960595460447
apple,1,A,681,0.3167078987508773
apple,2,C,733,0.2664600059666733
banana,0,C,400,0.2912924350056727
banana,1,A,534,0.36124075360689367
banana,2,B,1028,0.29566230577738145
orange,0,B,1144,0.3047210095298355
orange,1,A,564,0.3564336349750637
orange,2,C,146,0.29795329369472323
